,,Assessment Details,,Question #,Question,Dimension #1,Dimension #2,Dimension #3,,Dimension #1 Key,Description,Detail #1,Detail #2,Dimension #2 Key,Dimension #3 Key
,Name: ,7 Forms of Respect™ Results,,1,Those senior to me can rely on me to listen attentively to them,Engagement,Senior,Give,,Engagement,Being present; not multitasking; listening attentively,,,Senior,Give
,Plot Type 1:,Radar,,2,Those senior to me can rely on me to avoid asking for their help when I think they are very stressed,Consideration,Senior,Give,,Candor,"Asking challenging questions; giving unsolicited, constructive feedback","Generally, those who value giving candor in the workplace provide constructive criticism and want to be push those they work with to be the best that they can be. This may mean giving feedback even when work is still in progress, asking challenging questions, or helping out coworker when they are stuck.","How do you feel like you show candor in the workplace, and why might you have different practices in giving it for those senior, peer, and junior to you?",Senior,Give
,Max Value:,9,,3,Those senior to me can rely on me to refer to information they mentioned earlier,Engagement,Senior,Give,,Consideration,Letting what you think people need guide your interactions with them,,,Senior,Give
,,,,4,Those senior to me can rely on me to point out if I see mistakes in their work,Candor,Senior,Give,,Order,Following the established process; asking for and setting clear expectations,,,Senior,Give
,Page 1: Head,How You Give Respect,,5,Those senior to me can rely on me to come prepared as they requested,Order,Senior,Give,,Recognition,Expressing gratitude and acknowledgment of work done; praise,,,Senior,Give
,Page 2: Head,How You Expect to Get Respect,,6,Those senior to me can rely on me to prioritize their needs and concerns,Consideration,Senior,Give,,Time Commitment,Being punctual; staying on schedule; meeting deadlines,,,Senior,Give
,Page 3: Head,,,7,Those senior to me can rely on me to thank them for doing their job,Recognition,Senior,Give,,Transparency,Providing access to information that requires no action,,,Senior,Give
,Page 4: Head,,,8,Those senior to me can rely on me to acknowledge the ways they have supported me,Recognition,Senior,Give,,Engagement,Being present; not multitasking; listening attentively,,,Peer,Give
,,,,9,Those senior to me can rely on me to notify them if I'm going to be late,Time Commitment,Senior,Give,,Candor,"Asking challenging questions; giving unsolicited, constructive feedback","Generally, those who value giving candor in the workplace provide constructive criticism and want to be push those they work with to be the best that they can be. This may mean giving feedback even when work is still in progress, asking challenging questions, or helping out coworker when they are stuck.","How do you feel like you show candor in the workplace, and why might you have different practices in giving it for those senior, peer, and junior to you?",Peer,Give
,,,,10,Those senior to me can rely on me to voluntarily share updates about my work,Transparency,Senior,Give,,Consideration,Letting what you think people need guide your interactions with them,,,Peer,Give
,,,,11,Those senior to me can rely on me to NOT multitask,Engagement,Senior,Give,,Order,Following the established process; asking for and setting clear expectations,,,Peer,Give
,,,,12,Those senior to me can rely on me to voluntarily share the details of my work process.,Transparency,Senior,Give,,Recognition,Expressing gratitude and acknowledgment of work done; praise,,,Peer,Give
,,,,13,Those senior to me can rely on me to use their preferred communication method,Consideration,Senior,Give,,Time Commitment,Being punctual; staying on schedule; meeting deadlines,,,Peer,Give
,,,,14,Those senior to me can rely on me to consult established practices first before asking them for guidance,Order,Senior,Give,,Transparency,Providing access to information that requires no action,,,Peer,Give
,,,,15,Those senior to me can rely on me to ask challenging questions about their work,Candor,Senior,Give,,Engagement,Being present; not multitasking; listening attentively,,,Junior,Give
,,,,16,Those senior to me can rely on me to express when I don't agree with them,Candor,Senior,Give,,Candor,"Asking challenging questions; giving unsolicited, constructive feedback","Generally, those who value giving candor in the workplace provide constructive criticism and want to be push those they work with to be the best that they can be. This may mean giving feedback even when work is still in progress, asking challenging questions, or helping out coworker when they are stuck.","How do you feel like you show candor in the workplace, and why might you have different practices in giving it for those senior, peer, and junior to you?",Junior,Give
,,,,17,Those senior to me can rely on me to state my expectations of them,Order,Senior,Give,,Consideration,Letting what you think people need guide your interactions with them,,,Junior,Give
,,,,18,Those senior to me can rely on me to acknowledge their expertise.,Recognition,Senior,Give,,Order,Following the established process; asking for and setting clear expectations,,,Junior,Give
,,,,19,Those senior to me can rely on me to notify them beforehand if I might miss a deadline,Time Commitment,Senior,Give,,Recognition,Expressing gratitude and acknowledgment of work done; praise,,,Junior,Give
,,,,20,Those senior to me can rely on me to not wait until the last minute to reschedule,Time Commitment,Senior,Give,,Time Commitment,Being punctual; staying on schedule; meeting deadlines,,,Junior,Give
,,,,21,Those senior to me can rely on me to cc- them on emails so they stay informed,Transparency,Senior,Give,,Transparency,Providing access to information that requires no action,,,Junior,Give
,,,,22,My peers can rely on me to avoid asking for their help when I think they are very stressed,Consideration,Peer,Give,,Engagement,Being present; not multitasking; listening attentively,,,Senior,Get
,,,,23,My peers can rely on me to point out if I see mistakes in their work,Candor,Peer,Give,,Candor,"Asking challenging questions; giving unsolicited, constructive feedback","Generally, those who expect candor in the workplace need their co-workers to provide them with consistent and honest feedback on their work. This may mean having someone critique your own work, provide you with feedback on how you can do better or put you up to a challenge.","How do you feel like you expect candor in the workplace, and why might you have different expectations in getting it from those senior, peer, and junior to you?",Senior,Get
